Period	Frame	Time [s]	player	x	y
1	20421	816.84	17	0.47973	0.45392
1	20421	816.84	18	0.3397	0.06129
1	20421	816.84	19	0.20315	0.09049
1	20421	816.84	20	0.37282	0.28309
1	20421	816.84	21	0.30521	0.13433
1	20421	816.84	22	0.29986	0.68151
1	20421	816.84	23	0.23496	0.16955
1	20421	816.84	24	0.20004	0.41391
1	20421	816.84	25	0.80545	0.45085
1	20422	816.88	15	0.4859	0.13657
1	20422	816.88	16	0.50846	0.30103
1	20422	816.88	17	0.47992	0.45392
1	20422	816.88	18	0.33908	0.06105
1	20422	816.88	19	0.20316	0.08903
1	20422	816.88	20	0.37259	0.28271
1	20422	816.88	21	0.30512	0.13326
1	20422	816.88	22	0.2997	0.68018
1	20422	816.88	23	0.2349	0.1694
1	20422	816.88	24	0.19991	0.41348
1	20422	816.88	25	0.80529	0.45051
1	20423	816.92	15	0.4851	0.13575
1	20423	816.92	16	0.50834	0.30068
1	20423	816.92	17	0.48012	0.45391
1	20423	816.92	18	0.3385	0.0608
1	20423	816.92	19	0.20326	0.08763
1	20423	816.92	20	0.37239	0.28237
1	20423	816.92	21	0.30503	0.13218
1	20423	816.92	22	0.29958	0.67885
1	20423	816.92	23	0.23484	0.16933
1	20423	816.92	24	0.1998	0.41309
1	20423	816.92	25	0.80513	0.45018
1	20424	816.96	15	0.48429	0.13492
1	20424	816.96	16	0.50825	0.30031
1	20424	816.96	17	0.48033	0.45388
1	20424	816.96	18	0.33793	0.06054
1	20424	816.96	19	0.20343	0.08629
1	20424	816.96	20	0.37225	0.28215
1	20424	816.96	21	0.30494	0.1311
1	20424	816.96	22	0.2995	0.67756
1	20424	816.96	23	0.23482	0.16924
1	20424	816.96	24	0.19971	0.41268
1	20424	816.96	25	0.80496	0.44984
1	20425	817.0	15	0.48346	0.1341
1	20425	817.0	16	0.50819	0.3
1	20425	817.0	17	0.48055	0.4539
1	20425	817.0	18	0.33739	0.06027
1	20425	817.0	19	0.20368	0.08492
1	20425	817.0	20	0.37214	0.28192
1	20425	817.0	21	0.30486	0.1301
1	20425	817.0	22	0.29945	0.67628
1	20425	817.0	23	0.23481	0.16923
1	20425	817.0	24	0.19964	0.41224
1	20425	817.0	25	0.80479	0.44952
1	20426	817.04	15	0.48265	0.13318
1	20426	817.04	16	0.50812	0.29967
1	20426	817.04	17	0.4808	0.45389
1	20426	817.04	18	0.3369	0.06007
1	20426	817.04	19	0.20398	0.08342
1	20426	817.04	20	0.37207	0.28172
1	20426	817.04	21	0.30478	0.12908
1	20426	817.04	22	0.29944	0.67503
1	20426	817.04	23	0.23487	0.16917
1	20426	817.04	24	0.19961	0.41184
1	20426	817.04	25	0.80461	0.44928
1	20427	817.08	15	0.48181	0.13219
1	20427	817.08	16	0.50808	0.29933
1	20427	817.08	17	0.48108	0.45387
1	20427	817.08	18	0.3364	0.05978
1	20427	817.08	19	0.20438	0.08196
